Напряжение[B], Время[c]
0.6571,2.0605
0.6576,2.0654
0.6581,2.0654
0.6587,2.0605
0.6592,2.0557
0.6597,2.0557
0.6602,2.0557
0.6608,2.0654
0.6613,2.0654
0.6618,2.0654
0.6623,2.0654
0.6629,2.0654
0.6634,2.0557
0.6639,2.0605
0.6644,2.0654
0.6649,2.0654
0.6655,2.0605
0.6660,2.0557
0.6665,2.0605
0.6670,2.0605
0.6676,2.0605
0.6681,2.0605
0.6686,2.0605
0.6691,2.0605
0.6696,2.0605
0.6702,2.0654
0.6707,2.0654
0.6712,2.0605
0.6717,2.0654
0.6723,2.0605
0.6728,2.0654
0.6733,2.0654
0.6738,2.0654
0.6744,2.0605
0.6749,2.0605
0.6754,2.0654
0.6759,2.0654
0.6764,2.0557
0.6770,2.0557
0.6775,2.0654
0.6780,2.0654
0.6785,2.0654
0.6791,2.0605
0.6796,2.0605
0.6801,2.0557
0.6806,2.0654
0.6811,2.0654
0.6817,2.0654
0.6822,2.0557
0.6827,2.0605
0.6833,2.0605
0.6838,2.0557
0.6843,2.0654
0.6848,2.0654
0.6854,2.0557
0.6859,2.0605
0.6864,2.0703
0.6869,2.0605
0.6875,2.0605
0.6880,2.0654
0.6885,2.0654
0.6890,2.0654
0.6895,2.0654
0.6901,2.0557
0.6906,2.0605
0.6911,2.0654
0.6916,2.0654
0.6922,2.0654
0.6927,2.0654
0.6932,2.0605
0.6937,2.0605
0.6943,2.0605
0.6948,2.0605
0.6953,2.0654
0.6958,2.0605
0.6963,2.0654
0.6969,2.0605
0.6974,2.0654
0.6979,2.0654
0.6984,2.0654
0.6990,2.0654
0.6995,2.0654
0.7000,2.0605
0.7005,2.0557
0.7010,2.0557
0.7016,2.0654
0.7021,2.0605
0.7026,2.0654
0.7031,2.0605
0.7037,2.0654
0.7042,2.0654
0.7047,2.0654
0.7052,2.0605
0.7058,2.0605
0.7063,2.0605
0.7068,2.0605
0.7073,2.0557
0.7079,2.0605
0.7084,2.0654
0.7089,2.0605
0.7094,2.0654
0.7099,2.0605
0.7105,2.0654
0.7110,2.0654
0.7115,2.0605
0.7120,2.0654
0.7126,2.0605
0.7131,2.0605
0.7136,2.0605
0.7141,2.0654
0.7147,2.0605
0.7152,2.0605
0.7157,2.0654
0.7162,2.0557
0.7168,2.0557
0.7173,2.0605
0.7178,2.0605
0.7183,2.0654
0.7188,2.0654
0.7194,2.0605
0.7199,2.0654
0.7204,2.0605
0.7209,2.0654
0.7215,2.0605
0.7220,2.0605
0.7225,2.0605
0.7230,2.0557
0.7236,2.0654
0.7241,2.0654
0.7246,2.0654
0.7251,2.0605
0.7257,2.0605
0.7262,2.0605
0.7267,2.0654
0.7272,2.0605
0.7278,2.0557
0.7283,2.0557
0.7288,2.0605
0.7293,2.0654
0.7298,2.0605
0.7304,2.0605
0.7309,2.0557
0.7314,2.0654
0.7319,2.0654
0.7325,2.0654
0.7330,2.0654
0.7335,2.0605
0.7340,2.0654
0.7346,2.0654
0.7351,2.0605
0.7356,2.0605
0.7361,2.0654
0.7367,2.0605
0.7372,2.0605
0.7377,2.0605
0.7382,2.0654
0.7388,2.0654
0.7393,2.0654
0.7398,2.0654
0.7403,2.0605
0.7408,2.0605
0.7414,2.0605
0.7419,2.0605
0.7424,2.0605
0.7429,2.0557
0.7435,2.0605
0.7440,2.0557
0.7445,2.0605
0.7450,2.0557
0.7456,2.0605
0.7461,2.0605
0.7466,2.0605
0.7471,2.0605
0.7477,2.0557
0.7482,2.0605
0.7487,2.0654
0.7492,2.0605
0.7498,2.0557
0.7503,2.0557
0.7508,2.0605
0.7513,2.0654
0.7519,2.0605
0.7524,2.0654
0.7529,2.0557
0.7534,2.0654
0.7540,2.0654
0.7545,2.0654
0.7550,2.0557
