Время[c], Напряжение[B]
0.5707,2.5635
0.5713,2.5684
0.5718,2.5635
0.5724,2.5684
0.5729,2.5684
0.5734,2.5684
0.5739,2.5635
0.5745,2.5586
0.5750,2.5684
0.5755,2.5684
0.5760,2.5635
0.5766,2.5586
0.5771,2.5684
0.5776,2.5732
0.5782,2.5684
0.5787,2.5732
0.5792,2.5684
0.5798,2.5684
0.5803,2.5684
0.5808,2.5684
0.5814,2.5684
0.5819,2.5684
0.5824,2.5684
0.5829,2.5684
0.5835,2.5732
0.5840,2.5732
0.5845,2.5635
0.5852,2.5586
0.5858,2.5684
0.5863,2.5684
0.5869,2.5586
0.5874,2.5635
0.5880,2.5635
0.5885,2.5635
0.5891,2.5684
0.5896,2.5635
0.5901,2.5732
0.5906,2.5684
0.5912,2.5635
0.5917,2.5635
0.5922,2.5732
0.5928,2.5684
0.5934,2.5684
0.5939,2.5635
0.5945,2.5732
0.5950,2.5684
0.5955,2.5732
0.5961,2.5684
0.5966,2.5684
0.5971,2.5635
0.5977,2.5635
0.5982,2.5684
0.5987,2.5586
0.5993,2.5684
0.5998,2.5586
0.6003,2.5635
0.6009,2.5732
0.6014,2.5684
0.6019,2.5684
0.6025,2.5684
0.6030,2.5635
0.6035,2.5684
0.6041,2.5732
0.6046,2.5684
0.6052,2.5586
0.6057,2.5635
0.6062,2.5586
0.6067,2.5684
0.6073,2.5684
0.6078,2.5732
0.6083,2.5684
0.6089,2.5732
0.6094,2.5586
0.6099,2.5635
0.6105,2.5635
0.6110,2.5635
0.6115,2.5684
0.6121,2.5684
0.6126,2.5732
0.6132,2.5684
0.6137,2.5635
0.6142,2.5684
0.6147,2.5684
0.6153,2.5684
0.6158,2.5684
0.6163,2.5684
0.6168,2.5684
0.6174,2.5586
0.6179,2.5684
0.6184,2.5684
0.6189,2.5684
0.6195,2.5684
0.6200,2.5684
0.6205,2.5684
0.6210,2.5684
0.6215,2.5684
0.6221,2.5635
0.6226,2.5684
0.6231,2.5635
0.6236,2.5684
0.6242,2.5684
0.6247,2.5635
0.6252,2.5684
0.6257,2.5732
0.6262,2.5684
0.6268,2.5684
0.6273,2.5586
0.6278,2.5635
0.6283,2.5635
0.6288,2.5684
0.6294,2.5684
0.6299,2.5635
0.6304,2.5684
0.6309,2.5684
0.6315,2.5586
0.6320,2.5586
0.6325,2.5684
0.6330,2.5684
0.6335,2.5684
0.6341,2.5732
0.6346,2.5586
0.6351,2.5684
0.6356,2.5684
0.6361,2.5732
0.6367,2.5684
0.6372,2.5684
0.6377,2.5684
0.6382,2.5732
0.6388,2.5684
0.6393,2.5684
0.6398,2.5586
0.6403,2.5684
0.6408,2.5684
0.6414,2.5684
0.6419,2.5635
0.6424,2.5684
0.6429,2.5684
0.6434,2.5635
0.6440,2.5586
0.6445,2.5635
0.6450,2.5684
0.6455,2.5732
0.6461,2.5684
0.6466,2.5586
0.6471,2.5684
0.6476,2.5635
0.6481,2.5635
0.6487,2.5586
0.6492,2.5684
0.6497,2.5684
0.6502,2.5684
0.6507,2.5732
0.6513,2.5586
0.6518,2.5635
0.6523,2.5684
0.6528,2.5684
0.6534,2.5684
0.6539,2.5635
0.6544,2.5684
0.6549,2.5684
0.6554,2.5635
0.6560,2.5684
0.6565,2.5684
0.6570,2.5732
0.6575,2.5684
0.6580,2.5635
0.6586,2.5635
0.6591,2.5684
0.6596,2.5635
0.6601,2.5635
0.6607,2.5586
0.6612,2.5635
0.6617,2.5684
0.6622,2.5684
0.6627,2.5586
0.6633,2.5684
0.6638,2.5635
0.6643,2.5586
0.6648,2.5586
0.6653,2.5635
0.6659,2.5684
0.6664,2.5684
0.6669,2.5684
0.6674,2.5684
0.6680,2.5635
0.6685,2.5635
0.6690,2.5684
0.6695,2.5732
0.6701,2.5635
0.6706,2.5635
0.6711,2.5635
0.6716,2.5635
0.6721,2.5684
0.6727,2.5684
0.6732,2.5635
0.6737,2.5586
0.6742,2.5684
0.6748,2.5684
0.6753,2.5684
0.6758,2.5684
0.6763,2.5684
0.6768,2.5684
0.6774,2.5684
0.6779,2.5684
0.6784,2.5586
0.6789,2.5635
0.6794,2.5684
0.6800,2.5635
0.6805,2.5684
0.6810,2.5684
0.6815,2.5684
0.6821,2.5635
0.6826,2.5684
0.6831,2.5684
0.6836,2.5684
0.6841,2.5635
0.6847,2.5684
0.6852,2.5635
0.6857,2.5684
0.6862,2.5684
0.6868,2.5732
0.6873,2.5684
0.6878,2.5635
0.6883,2.5635
0.6888,2.5586
0.6894,2.5635
0.6899,2.5684
0.6904,2.5732
0.6909,2.5635
0.6915,2.5684
0.6920,2.5635
0.6925,2.5635
0.6930,2.5635
0.6935,2.5684
0.6941,2.5635
0.6946,2.5684
0.6951,2.5684
0.6956,2.5635
0.6961,2.5586
0.6967,2.5684
0.6972,2.5684
0.6977,2.5684
0.6982,2.5635
0.6988,2.5684
0.6993,2.5732
0.6998,2.5635
0.7003,2.5586
0.7008,2.5684
0.7014,2.5684
0.7024,2.5684
0.7031,2.5635
0.7036,2.5586
0.7041,2.5635
0.7046,2.5732
0.7051,2.5684
0.7057,2.5684
0.7062,2.5684
0.7067,2.5684
0.7072,2.5586
0.7078,2.5635
0.7083,2.5684
0.7088,2.5684
0.7093,2.5684
0.7098,2.5635
0.7104,2.5684
0.7109,2.5684
0.7114,2.5684
0.7119,2.5635
0.7125,2.5635
0.7130,2.5635
0.7135,2.5684
0.7140,2.5635
0.7145,2.5586
0.7151,2.5635
0.7156,2.5684
0.7161,2.5684
0.7166,2.5684
0.7172,2.5684
0.7177,2.5586
0.7182,2.5635
0.7187,2.5684
0.7192,2.5684
0.7198,2.5684
0.7203,2.5684
0.7208,2.5684
0.7213,2.5684
0.7219,2.5684
0.7224,2.5684
0.7229,2.5732
0.7234,2.5684
0.7240,2.5635
0.7245,2.5684
0.7250,2.5586
0.7255,2.5635
0.7260,2.5684
0.7266,2.5635
0.7271,2.5586
0.7276,2.5635
0.7281,2.5635
0.7287,2.5684
0.7292,2.5684
0.7297,2.5537
0.7302,2.5586
0.7308,2.5635
0.7313,2.5684
0.7318,2.5684
0.7323,2.5537
0.7328,2.5586
0.7334,2.5586
0.7339,2.5684
0.7344,2.5684
