Время[c], Напряжение[В]
0.6848,2.4854
0.6853,2.4854
0.6859,2.4951
0.6864,2.4902
0.6869,2.4902
0.6874,2.4902
0.6880,2.4805
0.6885,2.4951
0.6890,2.4854
0.6895,2.4902
0.6901,2.4902
0.6906,2.4902
0.6911,2.4902
0.6916,2.4951
0.6921,2.4805
0.6927,2.4902
0.6932,2.4902
0.6937,2.4902
0.6942,2.4902
0.6948,2.4902
0.6953,2.4902
0.6958,2.4902
0.6963,2.4902
0.6968,2.4902
0.6974,2.4902
0.6979,2.4902
0.6984,2.4805
0.6989,2.4854
0.6995,2.4951
0.7000,2.4854
0.7005,2.4854
0.7010,2.4902
0.7016,2.4902
0.7021,2.4902
0.7026,2.4951
0.7031,2.4805
0.7037,2.4902
0.7042,2.4902
0.7047,2.4902
0.7052,2.4902
0.7057,2.4951
0.7063,2.4902
0.7068,2.4902
0.7073,2.4902
0.7078,2.4902
0.7084,2.4854
0.7089,2.4902
0.7094,2.4854
0.7099,2.4805
0.7105,2.4902
0.7110,2.4902
0.7115,2.4854
0.7120,2.4902
0.7125,2.4805
0.7131,2.4805
0.7136,2.4854
0.7141,2.4854
0.7146,2.4902
0.7152,2.4902
0.7157,2.4902
0.7162,2.4854
0.7167,2.4902
0.7173,2.4902
0.7178,2.4902
0.7183,2.4902
0.7188,2.4902
0.7193,2.4902
0.7199,2.4902
0.7204,2.4854
0.7209,2.4854
0.7214,2.4902
0.7220,2.4902
0.7225,2.4902
0.7230,2.4854
0.7235,2.4902
0.7240,2.4854
0.7246,2.4902
0.7251,2.4902
0.7256,2.4902
0.7261,2.4902
0.7267,2.4805
0.7272,2.4902
0.7277,2.4902
0.7282,2.4902
0.7288,2.4902
0.7293,2.4805
0.7298,2.4805
0.7303,2.4902
0.7308,2.4854
0.7314,2.4902
0.7319,2.4902
0.7324,2.4805
0.7329,2.4902
0.7335,2.4902
0.7340,2.4902
0.7345,2.4902
0.7350,2.4902
0.7356,2.4902
0.7361,2.4902
0.7366,2.4854
0.7371,2.4902
0.7376,2.4854
0.7382,2.4902
0.7387,2.4902
0.7392,2.4805
0.7397,2.4854
0.7403,2.4902
0.7408,2.4854
0.7413,2.4854
0.7418,2.4902
0.7423,2.4951
0.7429,2.4902
0.7434,2.4902
0.7440,2.4902
0.7446,2.4805
0.7452,2.4805
0.7457,2.4902
0.7463,2.4902
0.7468,2.4854
0.7474,2.4854
0.7479,2.4902
0.7484,2.4902
0.7489,2.4902
0.7495,2.4902
0.7500,2.4902
